id,name
13966,Петлюри С.
13967,Стороженка О.
13968,Степанівни О.
13969,Щекавицька
13973,Величка С.
13974,Ряшівська
13975,Дозвільна
13978,Дрогобицька
13979,Кричевського М.
13980,Дальня
13981,Естонська
13982,Корсунська
13983,Лютнева
13984,Флінти З.
13985,Бакинська
13987,Сигнівка
13989,Гарматія Л.
13990,Каховська
13991,Яворницького Д.
13992,Підміська
13993,Голубина
13995,Бабія О.
13996,Трещаківського Л.
13998,Ранкова
13999,Вітряна
14000,Листова
14001,Лікувальна
14002,Санітарна
14003,Хоробрих
14004,Головатого А.
14005,Вечірня
14006,Пустомитівська
14007,Смотрицького М.
14008,Сяйво
14009,Вигода
14010,Морозенка Н.
14011,Потебні О.
14014,Скнилівська
14017,Каганця М.
14019,Одеська
14020,Кооперативна
14022,Братів Дужих
14024,Сорохтея О.
14025,Бортнянського Д.
14027,На Чвертях
14028,Сполучна
14030,Дубнівська
14031,Смакули О.
14032,Гушалевича І.
14033,Магазинова
14036,Землеробна
14039,Моторна
14043,Блажкевич І.
14044,Мундяк М.
14048,Сушко-Скачківської (Біл.)
14110,Планерна
14111,Ангарна
14112,Низинна
14113,Сластіона О.
14114,Повітряна
14115,Сірка І.
14116,Нечая Д.
14118,Суботівська
14119,Кругова
14126,Садівник-Люкс СК
14128,Машиністів
14129,Параджанова С.
14133,Баштанна
14134,Мисливська
14135,Ганкевича Л.
14136,Підгаєцька
14137,Вагонна
14138,Мостова
14139,Годованця М.
14140,Гірника О.
14141,Сигнальна
14142,Паровозна
14143,Слюсарська
14144,Ботанічна
14145,Алмазна
14148,Папоротна
14149,Дучимінської О.
14151,Фабрична
14152,Насінна
14153,Доробок
14154,Гніздовського Я.
14155,Пілотів
14156,Тернова
14157,Левандівська
14158,Пшенична
14159,Кавказька
14160,Вівсяна
14161,Тюльпанова
14162,Гіацинтова
14164,Бруснівська
14165,Таллінська
14166,Кочегарська
14167,Рудненська
14168,Синявського О.
14170,Збиральна
14173,Конюшинна
14174,Ганцова В.
14175,Рівненська
14176,Ліщинова
14178,Луцька
14179,Грузинська
14180,Самбірська
14181,Гречана
14183,Церетелі А.
14184,Ливарна
14185,Чагарникова
14186,Орельська
14187,Загородня
14188,Бандрівського Д.
14189,Дідушка В.
14190,Пропелерна
14191,Кузнярівка
14192,Чечета Г.
14193,Чижевського Д.
14194,Тісна
14195,Скромна
14196,Заболотівська
14197,Самарська
14199,Темницьких
14200,Олесницького Є.
14201,Олешківська
14202,Робсона П.
14203,Невелика
14204,Немирівська
14205,Ловецька
14206,Станційна
14207,Холодновідківська бічна
14208,Зимновідська
14234,Шухевича В.
14236,Урожай
14243,Залізничник
14252,Щирецька-Скнилівська
14255,Персенківка
14257,Іподромна
14258,Хуторівка
14259,Довженка О.
14260,Чукаріна В.
14261,Хоткевича Г.
14263,Зубрівська
14264,Манастирського А.
14265,Рахівська
14266,Рядова
14267,Енергетична
14268,Гостинна
14269,Бережанська
14270,Колійна
14271,Рожева
14273,Межова
14274,Литовська
14276,Курильська
14277,Чмоли І.
14279,Шахтарська
14281,Довга
14282,Соняшникова
14283,Райдужна
14284,Мишуги О.
14285,Ярославенка Я.
14286,Тиверська
14287,Запорізька
